index,citations,year,Abstract,citations_average
87,4,1987,"In the synchronous discrete model, the average memory capacity of bidirectional associative memories (BAMs) is compared with that of Hopfield memories, by means of a calculat10n of the percentage of good recall for 100 random BAMs of dimension 64x64, for different\xc2\xa0\xe2\x80\xa6'",0.12903225806451613
88,2,1987,"Recently, many modifications to the McCulloch/Pitts model have been proposed where both learning and forgetting occur. Given that the network never saturates (ceases to function effectively due to an overload of information), the learning updates can continue indefinitely. For these networks, we need to introduce performance measmes in addition to the information capacity to evaluate the different networks. We mathematically define quantities such as the plasticity of a network, the efficacy of an information vector, and the probability of\xc2\xa0\xe2\x80\xa6'",0.06451612903225806
90,2254,1988,"We address the question of when a network can be expected to generalize from m random training examples chosen from some arbitrary probability distribution, assuming that future test examples are drawn from the same distribution. Among our results are the following bounds on appropriate sample vs. network size. Assume o<\xc2\xa3 $1/8. We show that if m> O (~ log~) random examples can be loaded on a feedforward network of linear threshold functions with N nodes and W weights, so that at least a fraction 1-t of the examples are\xc2\xa0\xe2\x80\xa6'",75.13333333333334
91,682,1988,"We have designed, fabricated, and tested a series of compact CMOS integrated circuits that realize the winner-take-all function. These analog, continuous-time circuits use only O (n) of interconnect to perform this function. We have also modified the winner-take-all circuit, realizing a circuit that computes local nonlinear inhibition. Two general types of inhibition mediate activity in neural systems: subtractive inhibition, which sets a zero level for the computation, and multiplicative (nonlinear) inhibition, which regulates the gain of the\xc2\xa0\xe2\x80\xa6'",22.733333333333334
92,7,1988,Most of the current neural networks use models which have only tenuous connections to the biological neural systems on which they purport to be basedt and negligible input from the neuroscience/biophysics communities. This paper describes an ongoing effort which\xc2\xa0\xe2\x80\xa6',0.23333333333333334
93,48,1988,"An improved learning paradigm that offers a significant reduction in computation time during the supervised learning phase is described. It is based on extending the role that the neuron plays in artificial neural systems. Prior work has regarded the neuron as a strictly passive, non-linear processing element, and the synapse on the other hand as the primary source of information processing and knowledge retention. In this work, the role of the neuron is extended insofar as allowing its parameters to adaptively participate in the learning phase\xc2\xa0\xe2\x80\xa6'",1.6
94,5,1988,"We propose a new neural network model and its learning algorithm. The proposed neural network consists of four layers-input, hidden, output and final output layers. The hidden and output layers are multiple. Using the proposed SICL (Spread Pattern Information and Cooperative Learning) algorithm, it is possible to learn analog data accurately and to obtain smooth outputs. Using this neural network, we have developed a speech production system consisting of a phonemic symbol production subsystem and a speech parameter production\xc2\xa0\xe2\x80\xa6'",0.16666666666666666
96,403,1988,"Rumelhart (1987). has proposed a method for choosing minimal or"" simple"" representations during learning in Back-propagation networks. This approach can be used to (a) dynamically select the number of hidden units.(b) construct a representation that is appropriate for the problem and (c) thus improve the generalization ability of Back-propagation networks. The method Rumelhart suggests involves adding penalty terms to the usual error function. In this paper we introduce Rumelhart\xc2\xb7 s minimal networks idea and\xc2\xa0\xe2\x80\xa6'",13.433333333333334
97,207,1988,"Parallelizable optimization techniques are applied to the problem of learning in feedforward neural networks. In addition to having superior convergence properties, optimization techniques such as the Polak-Ribiere method are also significantly more efficient than the Backpropagation algorithm. These results are based on experiments performed on small boolean learning problems and the noisy real-valued learning problem of hand-written character recognition.'",6.9
98,13,1988,"A self-organizing Hopfield network has been developed in the context of Vector Ouantiza--tion, aiming at compression of television images. The metastable states of the spin glass-like network are used as an extra storage resource using the Minimal Overlap learning rule (Krauth and Mezard 1987) to optimize the organization of the attractors. The sel f-organi zi ng scheme that we have devised results in the generation of an adaptive codebook for any qiven TV image. I NTRODOCTI ON The ability of an Hopfield network\xc2\xa0\xe2\x80\xa6'",0.43333333333333335
100,10,1988,The Parsing and Learning System (PALS) is a massively parallel self-tuning context-free parser. It is capable of parsing sentences of unbounded length mainly due to its parse-tree representation scheme. The system is capable of improving its parsing performance through the presentation of training examples.',0.3333333333333333
101,99,1988,"The issues of scaling and generalization have emerged as key issues in current studies of supervised learning from examples in neural networks. Questions such as how many training patterns and training cycles are needed for a problem of a given size and difficulty, how to represent the inllUh and how to choose useful training exemplars, are of considerable theoretical and practical importance. Several intuitive rules of thumb have been obtained from empirical studies, but as yet there are few rigorous results. In this paper\xc2\xa0\xe2\x80\xa6'",3.3
102,22,1988,"A new viewpoint of the processing performed by Kanerva's sparse distributed memory (SDM) is presented. In conditions of near-or over-capacity, where the associative-memory behavior of the model breaks down, the processing performed by the model can be interpreted as that of a statistical predictor. Mathematical results are presented which serve as the framework for a new statistical viewpoint of sparse distributed memory and for which the standard formulation of SDM is a special case. This viewpoint suggests possible\xc2\xa0\xe2\x80\xa6""",0.7333333333333333
104,87,1988,"We introduce a learning algorithm for multilayer neural networks composed of binary linear threshold elements. Whereas existing algorithms reduce the learning process to minimizing a cost function over the weights, our method treats the internal representations as the\xc2\xa0\xe2\x80\xa6'",2.9
105,4,1988,We propose a new neural network structure that is compatible with silicon technology and has built-in learning capability. The thrust of this network work is a new synapse function. The synapses have the feature that the learning parameter is embodied in the thresholds of\xc2\xa0\xe2\x80\xa6',0.13333333333333333
106,25,1988,"This paper introduces a means to handle the critical problem of nonlocal role-bindings in localist spreading-activation networks. Every conceptual node in the network broadcasts a stable, uniquely-identifying activation pattern, called its signature. A dynamic role-binding is created when a role's binding node has an activation that matches the bound concept's signature. Most importantly, signatures are propagated across long paths of nodes to handle the non-local role-bindings necessary for inferencing. Our localist network model, ROBIN\xc2\xa0\xe2\x80\xa6""",0.8333333333333334
107,4,1988,"MOS charge storage has been demonstrated as an effective method to store the weights in VLSI implementations of neural network models by several workers 2. However, to achieve the full power of a VLSI implementation of an adaptive algorithm, the learning operation must built into the circuit. We have fabricated and tested a circuit ideal for this purpose by connecting a pair of capacitors with a CCD like structure, allowing for variable size weight changes as well as a weight decay operation. A 2.51-'CMOS version achieves better than 10\xc2\xa0\xe2\x80\xa6""",0.13333333333333333
108,53,1988,"We have used analog VLSI technology to model a class of small oscillating biological neural circuits known as central pattern generators (CPG). These circuits generate rhythmic patterns of activity which drive locomotor behaviour in the animal. We have designed, fabricated, and tested a model neuron circuit which relies on many of the same mechanisms as a biological central pattern generator neuron, such as delays and internal feedback. We show that this neuron can be used to build several small circuits based on known biological\xc2\xa0\xe2\x80\xa6'",1.7666666666666666
111,2,1988,"The olfactory bulb of mammals aids in the discrimination of odors. A mathematical model based on the bulbar anatomy and electrophysiology is described. Simulations produce a 35-60 Hz modulated activity coherent across the bulb, mimicing the observed field potentials. The decision states (for the odor information) here can be thought of as stable cycles, rather than point stable states typical of simpler neuro-computing models. Analysis and simulations show that a group of coupled non-linear oscillators are responsible for the oscillatory\xc2\xa0\xe2\x80\xa6'",0.06666666666666667
112,46,1988,"What follows extends some of our results of [1] on learning from examples in layered feed-forward networks of linear units. In particular we examine what happens when the ntunber of layers is large or when the connectivity between layers is local and investigate some of the properties of an autoassociative algorithm. Notation will be as in [1] where additional motivations and references can be found. It is usual to criticize linear networks because"" linear functions do not compute"" and because several layers can always be reduced to one\xc2\xa0\xe2\x80\xa6'",1.5333333333333334
113,13,1988,"We present a new hypothesis that the cerebellum plays a key role in actively controlling the acquisition of sensory infonnation by the nervous system. In this paper we explore this idea by examining the function of a simple cerebellar-related behavior, the vestibula-ocular reflex or VOR, in which eye movements are generated to minimize image slip on the retina during rapid head movements. Considering this system from the point of view of statistical estimation theory, our results suggest that the transfer function of the VOR, often regarded as\xc2\xa0\xe2\x80\xa6'",0.43333333333333335
115,85,1988,"We have fabricated a test chip in 2 micron CMOS that can perform supervised learning in a manner similar to the Boltzmann machine. Patterns can be presented to it at 100,000 per second. The chip learns to solve the XOR problem in a few milliseconds. We also have demonstrated the capability to do unsupervised competitive learning with it. The functions of the chip components are examined and the performance is assessed.'",2.8333333333333335
116,29,1988,"To rely on color as a cue in recognizing objects, a visual system must have at least approximate \ncolor constancy. Otherwise it might ascribe different characteristics to the same object under \ndifferent lights. But the first step in using color for recog- nition, segmenting the scene into regions \nof different colors, does not require color constancy. In this crucial step color serves simply as \na means of distinguishing one object from another in a given scene. Color differences, which \nmark material boundaries, are essential, while absolute color values are not. The goal of\xc2\xa0\xe2\x80\xa6'",0.9666666666666667
117,3,1988,"We present a simplified model of the micromechanics of the human cochlea, realized with electrical elements. Simulation of the model shows that it retains four signal processing features whose importance we argue on the basis of engineering logic and evolutionary evidence. Furthermore, just as the cochlea does, the model achieves massively parallel signal processing in a structurally economic way, by means of shared elements. By extracting what we believe are the five essential features of the cochlea, we hope to design\xc2\xa0\xe2\x80\xa6'",0.1
118,1,1988,"Birds sing to communicate. Male birds use song to advertise their territories and attract females. Each bird species has a unique song or set of songs. Song conveys both species and individual identity. In most species, young birds learn some features of adult song. Song\xc2\xa0\xe2\x80\xa6'",0.03333333333333333
120,11,1988,"ALVIS is a reinforcement-based connectionist architecture that learns associative maps in continuous multidimensional environments. The discovered locations of positive and negative reinforcements are recorded in"" do be"" and"" don\'t be"" subnetworks, respectively. The outputs of the subnetworks relevant to the current goal are combined and compared with the current location to produce an error vector. This vector is backpropagated through a motor-perceptual mapping network. to produce an action vector that leads the\xc2\xa0\xe2\x80\xa6'",0.36666666666666664
122,2,1988,"Automatic Speech Recognition (ASR) is an artificial perception problem: the input is raw, continuous patterns (no symbols!) and the desired output, which may be words, phonemes, meaning or text, is symbolic. The most successful approach to automatic speech recognition is based on stochastic models. A stochastic model is a theoretical system whose internal state and output undergo a series of transformations governed by probabilistic laws [1]. In the application to speech recognition the unknown patterns of sound are treated as if they\xc2\xa0\xe2\x80\xa6'",0.06666666666666667
127,180,1988,Nearly optimal solutions to many combinatorial problems can be found using stochastic simulated annealing. This paper extends the concept of simulated annealing from its original formulation as a Markov process to a new formulation based on mean field theory. Mean field annealing essentially replaces the discrete degrees of freedom in simulated annealing with their average values as computed by the mean field approximation. The net result is that equilibrium at a given temperature is achieved 1-2 orders of magnitude faster than with\xc2\xa0\xe2\x80\xa6',6.0
128,19,1988,"Learning procedures that measure how random perturbations of unit activities correlate with changes in reinforcement are inefficient but simple to implement in hardware. Procedures like back-propagation (Rumelhart, Hinton and Williams, 1986) which compute how changes in activities affect the output error are much more efficient, but require more complex hardware. GEMINI is a hybrid procedure for multilayer networks, which shares many of the implementation advantages of correlational reinforcement procedures but is more efficient\xc2\xa0\xe2\x80\xa6'",0.6333333333333333
130,7,1988,This research involves a method for finding global maxima in constraint satisfaction networks. It is an annealing process butt unlike most otherst requires no annealing schedule. Temperature is instead determined locally by units at each updatet and thus all\xc2\xa0\xe2\x80\xa6',0.23333333333333334
131,20,1988,Hardware implementation of neuromorphic algorithms is hampered by high degrees of connectivity. Functionally equivalent feedforward networks may be formed by using limited fan-in nodes and additional layers. but this complicates procedures for determining weight magnitudes. No direct mapping of weights exists between fully and limited-interconnect nets. Low-level nonlinearities prevent the formation of internal representations of widely separated spatial features and the use of gradient descent methods to minimize output error\xc2\xa0\xe2\x80\xa6',0.6666666666666666
132,33,1988,"Reconstructing a surface from sparse sensory data is a well-known problem iIi computer vision. This paper describes an experimental analog VLSI chip for smooth surface interpolation from sparse depth data. An eight-node ID network was designed in 3J. lm CMOS and successfully tested. The network minimizes a second-order or"" thinplate"" energy of the surface. The circuit directly implements the coupled depth/slope model of surface reconstruction (Harris, 1987). In addition, this chip can provide Gaussian-like smoothing of\xc2\xa0\xe2\x80\xa6'",1.1
133,4,1988,"We introduce an optimization approach for solving problems in computer vision that involve multiple levels of abstraction. Our objective functions include compositional and specialization hierarchies. We cast vision problems as inexact graph matching problems, formulate graph matching in terms of constrained optimization, and use analog neural networks to perform the optimization. The method is applicable to perceptual grouping and model matching. Preliminary experimental results are shown.'",0.13333333333333333
134,12,1988,"Piero Cosi Centro di Studio per Ie Ricerche di Fonetica, CNR, Via Oberdan, 10, 35122 Padova, Italy Preliminary results on speaker-independant speech recognition are reported. A method that combines expertise on neural networks with expertise on speech recognition is used to build the recognition systems. For transient sounds, eventdriven property extractors with variable resolution in the time and frequency domains are used. For sonorant speech, a model of the human auditory system is preferred to FFT as a front-end\xc2\xa0\xe2\x80\xa6'",0.4
137,1,1988,Heiligenberg (1987) recently proposed a model to explain how sensory maps could enhance resolution through orderly arrangement of broadly tuned receptors. We have extended this model to the general case of polynomial weighting schemes and proved that the response function is also a polynomial of the same order. We further demonstrated that the Hermitian polynomials are eigenfunctions of the system. Finally we suggested a biologically plausible mechanism for sensory representation of external stimuli with\xc2\xa0\xe2\x80\xa6',0.03333333333333333
